TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
mALPS,Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,Reactome_2022::SUMO_E3_Ligases_SUMOylate_Target_Proteins_R-HSA-3108232,159,-0.021055,-0.0019599,0.073341,0.61298,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),GO_BP_2023::Negative_Regulation_Of_Protein_Localization_To_Cell_Periphery_(GO:1904376),19,-0.057359,-0.0018528,0.19885,0.6135,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Cardiac Muscle Hypertrophy (GO:0010611),GO_BP_2023::Regulation_Of_Cardiac_Muscle_Hypertrophy_(GO:0010611),23,-0.060232,-0.0021404,0.20857,0.61363,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Positive Regulation Of Cell Motility (GO:2000147),GO_BP_2023::Positive_Regulation_Of_Cell_Motility_(GO:2000147),216,-0.017787,-0.0019268,0.0615,0.61379,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Transcriptional Regulation Of Testis Differentiation R-HSA-9690406,Reactome_2022::Transcriptional_Regulation_Of_Testis_Differentiation_R-HSA-9690406,11,-0.078735,-0.0019356,0.27161,0.61404,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Rev-mediated Nuclear Export Of HIV RNA R-HSA-165054,Reactome_2022::Rev-mediated_Nuclear_Export_Of_HIV_RNA_R-HSA-165054,35,-0.047117,-0.0020648,0.16246,0.6141,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Signaling To RAS R-HSA-167044,Reactome_2022::Signaling_To_RAS_R-HSA-167044,19,-0.050951,-0.0016458,0.17568,0.6141,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,Reactome_2022::TP53_Regulates_Transcription_Of_Cell_Cycle_Genes_R-HSA-6791312,47,-0.036277,-0.0018416,0.12496,0.61421,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Erythrocyte Differentiation (GO:0045646),GO_BP_2023::Regulation_Of_Erythrocyte_Differentiation_(GO:0045646),34,-0.042888,-0.0018525,0.1475,0.61439,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042),GO_BP_2023::Negative_Regulation_Of_Extrinsic_Apoptotic_Signaling_Pathway_Via_Death_Domain_Receptors_(GO:1902042),22,-0.060578,-0.0021055,0.2083,0.6144,0.9673418390162102,1.0,False,False
