library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
Reactome_2022,Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176,3,0,0.0229,0.074133,0.7684385119047619,False
Reactome_2022,N-Glycan Antennae Elongation R-HSA-975577,3,0,0.02224,0.074599,0.8262890510948905,False
GO_BP_2023,Mesoderm Morphogenesis (GO:0048332),3,0,0.010903,0.075427,0.7827946511627907,False
GO_BP_2023,Regulation Of Cellular Metabolic Process (GO:0031323),3,0,0.01905,0.075499,0.7598961313868613,False
Reactome_2022,Signal Transduction By L1 R-HSA-445144,3,0,0.053323,0.07578,0.8635484411764706,False
GO_BP_2023,Positive Regulation Of BMP Signaling Pathway (GO:0030513),3,0,0.0091375,0.075873,0.726716796875,False
GO_BP_2023,Negative Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090201),3,0,0.067256,0.077574,0.8848690726817042,False
GO_BP_2023,Lipoprotein Transport (GO:0042953),3,0,0.029771,0.078821,0.7943846354166667,False
Reactome_2022,Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948,3,0,0.040069,0.079903,0.8642000423728814,False
GO_BP_2023,Regulation Of Organelle Organization (GO:0033043),3,0,0.03804,0.080006,0.8601226180257511,False
Reactome_2022,Degradation Of GLI2 By Proteasome R-HSA-5610783,3,0,0.0053865,0.080147,0.5916865306122449,False
GO_BP_2023,Positive Regulation Of Purine Nucleotide Biosynthetic Process (GO:1900373),3,0,0.011048,0.080737,0.7427381578947369,False
GO_BP_2023,Protein Localization To Kinetochore (GO:0034501),3,0,0.063206,0.081091,0.8766172752043597,False
GO_BP_2023,Positive Regulation Of Catalytic Activity (GO:0043085),3,0,0.027503,0.081344,0.7795909677419355,False
GO_BP_2023,Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139),3,0,0.013297,0.081479,0.7598961313868613,False
GO_BP_2023,Non-Canonical Wnt Signaling Pathway (GO:0035567),3,0,0.014957,0.081799,0.7598961313868613,False
GO_BP_2023,Ceramide Biosynthetic Process (GO:0046513),3,0,0.012216,0.083222,0.7827946511627907,False
Reactome_2022,Ketone Body Metabolism R-HSA-74182,3,0,0.043106,0.083442,0.8724378717201167,False
GO_BP_2023,RNA Phosphodiester Bond Hydrolysis (GO:0090501),3,0,0.04772,0.084366,0.8604618021201413,False
GO_BP_2023,Mesenchymal Cell Migration (GO:0090497),3,0,0.028813,0.084382,0.8635484411764706,False
Reactome_2022,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,3,0,0.037861,0.084564,0.8601226180257511,False
GO_BP_2023,Transcription Preinitiation Complex Assembly (GO:0070897),3,0,0.007127,0.084682,0.6364285964912281,False
GO_BP_2023,Regulation Of Supramolecular Fiber Organization (GO:1902903),3,0,0.019476,0.085771,0.7646050657894736,False
Reactome_2022,Translation Of Structural Proteins R-HSA-9683701,3,0,0.04166,0.085824,0.8635484411764706,False
Reactome_2022,Josephin Domain DUBs R-HSA-5689877,3,0,0.024109,0.085874,0.7995480193236716,False
GO_BP_2023,Cellular Response To Misfolded Protein (GO:0071218),3,0,0.025988,0.08616,0.7735609356725146,False
GO_BP_2023,"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",3,0,0.031456,0.086946,0.8273067857142858,False
GO_BP_2023,Spliceosomal Complex Assembly (GO:0000245),3,0,0.04451,0.086998,0.8298750915750917,False
GO_BP_2023,Epithelial To Mesenchymal Transition (GO:0001837),3,0,0.058877,0.087722,0.8848690726817042,False
Reactome_2022,TCR Signaling R-HSA-202403,3,0,0.048858,0.088129,0.8635484411764706,False
Reactome_2022,Interleukin-12 Family Signaling R-HSA-447115,3,0,0.07895,0.088343,0.9046810444874276,False
Reactome_2022,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,3,0,0.030434,0.089549,0.7955800512820512,False
GO_BP_2023,Cellular Respiration (GO:0045333),3,0,0.034361,0.089708,0.8446783644859814,False
Reactome_2022,Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,3,0,0.036506,0.089873,0.8298750915750917,False
GO_BP_2023,Regulation Of Plasma Membrane Bounded Cell Projection Organization (GO:0120035),3,0,0.048379,0.09103,0.8618889930555556,False
GO_BP_2023,Regulation Of Microtubule Polymerization (GO:0031113),3,0,0.013594,0.091447,0.7827946511627907,False
GO_BP_2023,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),3,0,0.033775,0.091594,0.8111107075471697,False
Reactome_2022,RAC1 GTPase Cycle R-HSA-9013149,3,0,0.08454,0.091858,0.9046810444874276,False
